Time And Station ID
line,0,1,2,3,4,5,6,7,8,9,
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,6.000,5.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,6.000,5.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,6.000,5.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,6.000,5.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,12.000,10.000,4.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,12.000,10.000,4.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,12.000,10.000,4.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,18.000,15.000,6.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,18.000,15.000,6.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,18.000,15.000,6.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,18.000,15.000,6.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,24.000,20.000,8.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,
0,24.000,20.000,8.000,4.000,0.000,4.000,3.000,2.000,1.000,0.000,
0,24.000,20.000,8.000,4.000,0.000,4.000,3.000,2.000,1.000,0.000,
0,24.000,20.000,8.000,4.000,0.000,4.000,3.000,2.000,1.000,0.000,
0,24.000,20.000,8.000,4.000,0.000,8.000,6.000,4.000,2.000,0.000,
0,24.000,20.000,8.000,4.000,0.000,8.000,6.000,4.000,2.000,0.000,
0,24.000,20.000,8.000,4.000,0.000,8.000,6.000,4.000,2.000,0.000,
0,24.000,20.000,8.000,4.000,0.000,8.000,6.000,4.000,2.000,0.000,
0,30.000,25.000,10.000,5.000,0.000,8.000,6.000,4.000,2.000,0.000,
0,30.000,25.000,10.000,5.000,0.000,8.000,6.000,4.000,2.000,0.000,
0,30.000,25.000,10.000,5.000,0.000,8.000,6.000,4.000,2.000,0.000,
0,36.000,30.000,12.000,6.000,0.000,12.000,9.000,6.000,3.000,0.000,
0,36.000,30.000,12.000,6.000,0.000,12.000,9.000,6.000,3.000,0.000,
0,36.000,30.000,12.000,6.000,0.000,12.000,9.000,6.000,3.000,0.000,
0,36.000,30.000,12.000,6.000,0.000,12.000,9.000,6.000,3.000,0.000,
0,42.000,35.000,14.000,7.000,0.000,12.000,9.000,6.000,3.000,0.000,
0,42.000,35.000,14.000,7.000,0.000,12.000,9.000,6.000,3.000,0.000,
0,42.000,35.000,14.000,7.000,0.000,12.000,9.000,6.000,3.000,0.000,
0,42.000,35.000,14.000,7.000,0.000,12.000,9.000,6.000,3.000,0.000,
0,48.000,40.000,16.000,8.000,0.000,16.000,12.000,8.000,4.000,0.000,
0,48.000,40.000,16.000,8.000,0.000,16.000,12.000,8.000,4.000,0.000,
0,48.000,40.000,16.000,8.000,0.000,16.000,12.000,8.000,4.000,0.000,
0,48.000,40.000,16.000,8.000,0.000,16.000,12.000,8.000,4.000,0.000,
0,48.000,40.000,16.000,8.000,0.000,16.000,12.000,8.000,4.000,0.000,
0,48.000,40.000,16.000,8.000,0.000,16.000,12.000,8.000,4.000,0.000,
0,48.000,40.000,16.000,8.000,0.000,16.000,12.000,8.000,4.000,0.000,
0,54.000,45.000,18.000,9.000,0.000,16.000,12.000,8.000,4.000,0.000,
0,54.000,45.000,18.000,9.000,0.000,16.000,12.000,8.000,4.000,0.000,
0,54.000,45.000,18.000,9.000,0.000,16.000,12.000,8.000,4.000,0.000,
0,54.000,45.000,18.000,9.000,0.000,16.000,12.000,8.000,4.000,0.000,
0,60.000,50.000,20.000,10.000,0.000,16.000,12.000,8.000,4.000,0.000,
0,60.000,50.000,20.000,10.000,0.000,16.000,12.000,8.000,4.000,0.000,
0,60.000,50.000,20.000,10.000,0.000,16.000,12.000,8.000,4.000,0.000,
0,60.000,50.000,20.000,10.000,0.000,16.000,12.000,8.000,4.000,0.000,
0,66.000,55.000,22.000,11.000,0.000,20.000,15.000,10.000,5.000,0.000,
0,66.000,55.000,22.000,11.000,0.000,20.000,15.000,10.000,5.000,0.000,
0,66.000,55.000,22.000,11.000,0.000,20.000,15.000,10.000,5.000,0.000,
0,66.000,55.000,22.000,11.000,0.000,20.000,15.000,10.000,5.000,0.000,
0,72.000,60.000,24.000,12.000,0.000,20.000,15.000,10.000,5.000,0.000,
0,72.000,60.000,24.000,12.000,0.000,20.000,15.000,10.000,5.000,0.000,
0,72.000,60.000,24.000,12.000,0.000,20.000,15.000,10.000,5.000,0.000,
0,72.000,60.000,24.000,12.000,0.000,24.000,18.000,12.000,6.000,0.000,
0,72.000,60.000,24.000,12.000,0.000,24.000,18.000,12.000,6.000,0.000,
0,72.000,60.000,24.000,12.000,0.000,24.000,18.000,12.000,6.000,0.000,
0,72.000,60.000,24.000,12.000,0.000,24.000,18.000,12.000,6.000,0.000,
0,78.000,65.000,26.000,13.000,0.000,24.000,18.000,12.000,6.000,0.000,
0,78.000,65.000,26.000,13.000,0.000,24.000,18.000,12.000,6.000,0.000,
0,78.000,65.000,26.000,13.000,0.000,24.000,18.000,12.000,6.000,0.000,
0,78.000,65.000,26.000,13.000,0.000,24.000,18.000,12.000,6.000,0.000,
0,84.000,70.000,28.000,14.000,0.000,28.000,21.000,14.000,7.000,0.000,
0,84.000,70.000,28.000,14.000,0.000,28.000,21.000,14.000,7.000,0.000,
0,84.000,70.000,28.000,14.000,0.000,28.000,21.000,14.000,7.000,0.000,
0,84.000,70.000,28.000,14.000,0.000,28.000,21.000,14.000,7.000,0.000,
0,90.000,75.000,30.000,15.000,0.000,28.000,21.000,14.000,7.000,0.000,
0,90.000,75.000,30.000,15.000,0.000,28.000,21.000,14.000,7.000,0.000,
0,90.000,75.000,30.000,15.000,0.000,28.000,21.000,14.000,7.000,0.000,
0,96.000,80.000,32.000,16.000,0.000,32.000,24.000,16.000,8.000,0.000,
0,96.000,80.000,32.000,16.000,0.000,32.000,24.000,16.000,8.000,0.000,
0,96.000,80.000,32.000,16.000,0.000,32.000,24.000,16.000,8.000,0.000,
0,96.000,80.000,32.000,16.000,0.000,32.000,24.000,16.000,8.000,0.000,
0,96.000,80.000,32.000,16.000,0.000,32.000,24.000,16.000,8.000,0.000,
0,96.000,80.000,32.000,16.000,0.000,32.000,24.000,16.000,8.000,0.000,
